name,year,genre,adult,budget,c_box_office,c_profit,c_performance
Avengers: Endgame,2019,Action,no,356.0,2799.44,7.86,great
Princess Mononoke,1997,Family,no,2400.0,170.01,0.07,expected
Once Upon a Time in America,1984,Action,yes,30.0,5.47,0.18,expected
3 Idiots,2009,Comedy,no,550.0,60.26,0.11,expected
Singin' in the Rain,1952,Family,no,2.54,2.0,0.79,expected
Requiem for a Dream,2000,Drama,yes,4.5,7.39,1.64,expected
Toy Story 3,2010,Family,no,200.0,1067.32,5.34,great
Star Wars: Episode VI - Return of the Jedi,1983,Fantasy,no,32.5,475.11,14.62,great
Eternal Sunshine of the Spotless Mind,2004,Fantasy,yes,20.0,74.04,3.7,expected
2001: A Space Odyssey,1968,Fantasy,no,12.0,65.89,5.49,great
Reservoir Dogs,1992,Mystery,yes,1.2,2.91,2.43,expected
Citizen Kane,1941,Mystery,no,0.84,1.65,1.96,expected
Lawrence of Arabia,1962,History,yes,15.0,45.72,3.05,expected
North by Northwest,1959,Mystery,yes,3.1,0.14,0.05,expected
Vertigo,1958,Family,no,2.48,7.8,3.15,expected
Amélie,2001,Family,yes,10.0,174.12,17.41,great
The Apartment,1960,Family,yes,3.0,18.78,6.26,great
A Clockwork Orange,1971,Fantasy,yes,2.2,26.96,12.25,great
Double Indemnity,1944,Mystery,yes,0.93,0.01,0.02,expected
Full Metal Jacket,1987,History,yes,30.0,46.36,1.55,expected
Top Gun: Maverick,2022,Action,no,170.0,1488.73,8.76,great
Scarface,1983,Action,yes,25.0,65.88,2.64,expected
Incendies,2010,Mystery,yes,6.8,6.79,1.0,expected
To Kill a Mockingbird,1962,Action,yes,2.0,0.6,0.3,expected
Heat,1995,Action,yes,60.0,187.44,3.12,expected
The Sting,1973,Comedy,no,5.5,156.0,28.36,great
Up,2009,Family,no,175.0,735.1,4.2,expected
A Separation,2011,Drama,no,0.5,22.93,45.85,great
Taxi Driver,1976,Action,yes,1.3,28.57,21.98,great
L.A. Confidential,1997,Mystery,yes,35.0,126.22,3.61,expected
Die Hard,1988,Mystery,yes,28.0,141.6,5.06,great
Snatch,2000,Comedy,yes,6.0,83.56,13.93,great
Indiana Jones and the Last Crusade,1989,Action,no,48.0,474.17,9.88,great
Bicycle Thieves,1948,Drama,yes,0.13,0.44,3.28,expected
1917,2019,History,yes,95.0,384.48,4.05,expected
Downfall,2004,History,yes,13.5,92.18,6.83,great
For a Few Dollars More,1965,Action,yes,0.6,15.0,25.0,great
Batman Begins,2005,Action,no,150.0,373.67,2.49,expected
The Kid,1921,Family,yes,0.25,0.04,0.17,expected
Some Like It Hot,1959,Family,yes,2.88,0.2,0.07,expected
The Father,2020,Mystery,no,6.0,24.43,4.07,expected
All About Eve,1950,Drama,yes,1.4,0.15,0.11,expected
The Wolf of Wall Street,2013,History,yes,100.0,406.88,4.07,expected
Green Book,2018,History,no,23.0,321.75,13.99,great
Judgment at Nuremberg,1961,History,yes,3.0,0.01,0.0,expected
Casino,1995,Action,yes,52.0,116.11,2.23,expected
Ran,1985,History,yes,11.5,4.16,0.36,expected
Pan's Labyrinth,2006,Fantasy,yes,19.0,83.86,4.41,expected
The Truman Show,1998,Comedy,no,60.0,264.12,4.4,expected
There Will Be Blood,2007,Drama,yes,25.0,76.18,3.05,expected
Unforgiven,1992,Action,yes,14.4,159.17,11.05,great
The Sixth Sense,1999,Mystery,no,40.0,672.81,16.82,great
Shutter Island,2010,Mystery,yes,80.0,294.81,3.69,expected
A Beautiful Mind,2001,History,no,58.0,316.79,5.46,great
Jurassic Park,1993,Fantasy,no,63.0,1109.8,17.62,great
The Treasure of the Sierra Madre,1948,Action,yes,3.0,5.01,1.67,expected
Monty Python and the Holy Grail,1975,Fantasy,no,0.23,1.94,8.45,great
The Great Escape,1963,History,yes,4.0,0.23,0.06,expected
No Country for Old Men,2007,Mystery,yes,25.0,171.63,6.87,great
Spider-Man: No Way Home,2021,Fantasy,no,200.0,1921.85,9.61,great
Kill Bill: Vol. 1,2003,Action,yes,30.0,180.91,6.03,great
Rashomon,1950,Mystery,yes,0.25,0.08,0.33,expected
The Thing,1982,Fantasy,yes,15.0,19.63,1.31,expected
Finding Nemo,2003,Family,no,94.0,941.64,10.02,great
The Elephant Man,1980,History,no,5.0,26.02,5.2,great
Chinatown,1974,Mystery,yes,6.0,29.23,4.87,expected
Raging Bull,1980,History,yes,18.0,23.4,1.3,expected
V for Vendetta,2005,Fantasy,yes,54.0,134.69,2.49,expected
Gone with the Wind,1939,History,yes,3.98,402.38,101.18,great
"Lock, Stock and Two Smoking Barrels",1998,Comedy,yes,0.96,3.75,3.91,expected
Inside Out,2015,Family,no,175.0,858.85,4.91,expected
Dial M for Murder,1954,Mystery,no,1.4,0.03,0.02,expected
Howl's Moving Castle,2004,Family,no,24.0,237.54,9.9,great
"Three Billboards Outside Ebbing, Missouri",2017,Comedy,yes,15.0,162.86,10.86,great
The Bridge on the River Kwai,1957,History,no,3.0,27.2,9.07,great
Trainspotting,1996,Drama,yes,1.5,16.77,11.18,great
Prisoners,2013,Mystery,yes,46.0,122.13,2.65,expected
Warrior,2011,Family,no,25.0,23.31,0.93,expected
Fargo,1996,Mystery,yes,7.0,60.61,8.66,great
Gran Torino,2008,Drama,yes,33.0,269.96,8.18,great
Million Dollar Baby,2004,Family,no,30.0,216.76,7.23,great
Blade Runner,1982,Fantasy,yes,28.0,41.72,1.49,expected
The Gold Rush,1925,Comedy,yes,0.92,0.03,0.03,expected
Before Sunrise,1995,Family,yes,2.5,5.99,2.39,expected
12 Years a Slave,2013,History,yes,20.0,187.73,9.39,great
Harry Potter and the Deathly Hallows: Part 2,2011,Fantasy,no,125.0,1342.36,10.74,great
Ben-Hur,1959,Action,no,15.0,74.44,4.96,expected
The Grand Budapest Hotel,2014,Comedy,yes,25.0,173.08,6.92,great
The Deer Hunter,1978,History,yes,15.0,49.07,3.27,expected
Barry Lyndon,1975,History,no,11.0,0.2,0.02,expected
Hacksaw Ridge,2016,History,yes,40.0,180.56,4.51,expected
Memories of Murder,2003,Mystery,yes,2.8,1.17,0.42,expected
Mr. Smith Goes to Washington,1939,Comedy,yes,1.9,0.14,0.08,expected
Mad Max: Fury Road,2015,Fantasy,yes,150.0,415.26,2.77,expected
The Seventh Seal,1957,Fantasy,yes,0.15,0.31,2.07,expected
Mary and Max,2009,Family,yes,8.24,1.74,0.21,expected
How to Train Your Dragon,2010,Family,no,165.0,494.88,3.0,expected
Room,2015,Mystery,yes,13.0,35.4,2.72,expected
"Monsters, Inc.",2001,Family,no,115.0,579.71,5.04,great
Jaws,1975,Mystery,no,7.0,476.51,68.07,great
Dead Poets Society,1989,Comedy,no,16.4,235.86,14.38,great
The Big Lebowski,1998,Comedy,yes,15.0,46.97,3.13,expected
Hotel Rwanda,2004,History,no,17.5,33.88,1.94,expected
Ford v Ferrari,2019,History,no,97.6,225.51,2.31,expected
Rocky,1976,Family,no,0.96,117.25,122.14,great
Platoon,1986,History,yes,6.0,138.55,23.09,great
Ratatouille,2007,Family,no,150.0,623.73,4.16,expected
Spotlight,2015,History,yes,20.0,98.69,4.93,expected
The Terminator,1984,Fantasy,yes,6.4,78.37,12.25,great
Logan,2017,Fantasy,yes,97.0,619.18,6.38,great
Stand by Me,1986,Action,yes,8.0,52.29,6.54,great
Rush,2013,History,yes,38.0,96.98,2.55,expected
Network,1976,Drama,yes,3.8,23.69,6.23,great
Into the Wild,2007,History,yes,15.0,56.68,3.78,expected
The Wizard of Oz,1939,Fantasy,no,2.78,25.64,9.23,great
Groundhog Day,1993,Fantasy,no,14.6,71.11,4.87,expected
The Best Years of Our Lives,1946,History,yes,2.1,23.66,11.27,great
The Exorcist,1973,Mystery,yes,11.0,441.31,40.12,great
The Incredibles,2004,Family,no,92.0,631.61,6.87,great
The Battle of Algiers,1966,History,yes,0.8,0.96,1.2,expected
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Fantasy,no,140.0,654.26,4.67,expected
Amores Perros,2000,Mystery,yes,2.0,20.91,10.45,great
Rebecca,1940,Mystery,yes,1.29,0.07,0.06,expected
Cool Hand Luke,1967,Action,yes,3.2,0.0,0.0,expected
The Sound of Music,1965,History,no,8.2,159.43,19.44,great
It Happened One Night,1934,Family,yes,0.32,0.01,0.04,expected
Life of Brian,1979,Comedy,yes,4.0,20.75,5.19,great
The Iron Giant,1999,Family,no,70.0,23.34,0.33,expected
The Help,2011,Drama,no,25.0,216.64,8.67,great
Dersu Uzala,1975,History,no,4.0,0.01,0.0,expected
Gandhi,1982,History,no,22.0,52.77,2.4,expected
Dances with Wolves,1990,Action,no,22.0,424.21,19.28,great
